url_length,num_dots_in_url,num_special_chars,num_subdomains,num_forms,num_inputs,num_password_fields,num_external_links,num_internal_links,num_hidden_fields,num_mailto_links,num_scripts,num_js_functions,has_eval_js,has_escape_js,has_unescape_js,has_settimeout_js,has_setinterval_js,has_https,suspicious_url,num_meta_tags,num_refresh_meta,num_iframes,num_hidden_iframes,num_images,num_images_with_suspicious_url,num_style_tags,num_inline_styles,num_onload_attributes,num_onerror_attributes,num_external_form_actions,label
43141,245,2034,244,1,4,0,1,97,2,0,12,12,0,1,1,0,0,0,1,4,0,3,0,2,0,0,128,0,0,0,0
10341,157,400,156,2,2,0,3,2,1,0,18,22,0,1,1,0,0,0,1,5,0,0,0,2,0,0,2,0,0,0,0
182272,574,11750,573,1,4,0,6,929,1,1,8,3,0,0,0,1,0,0,1,13,0,1,0,83,0,0,8,0,0,0,0
326690,679,17842,678,1,9,0,38,1800,1,0,11,5,0,0,0,0,0,0,1,5,0,5,0,253,0,1,202,0,0,0,0
92411,899,5279,898,1,4,0,27,171,3,0,26,82,0,0,0,1,0,0,1,25,0,1,0,60,0,0,11,1,0,1,0
467729,3545,20878,3544,2,6,0,438,732,2,0,10,1,0,0,0,0,0,0,1,5,0,1,0,389,0,0,218,0,0,0,0
4211,30,243,29,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1
11581,59,466,58,1,3,0,1,19,2,0,3,0,0,1,0,0,0,0,0,3,0,1,0,10,0,2,3,0,0,0,0
112684,956,4108,955,1,8,1,164,29,5,0,17,7,0,0,0,0,0,0,1,4,0,0,0,70,0,1,100,0,0,1,0
64070,757,2999,756,0,0,0,112,0,0,0,15,11,0,1,0,0,0,0,0,15,0,1,0,43,0,4,4,0,0,0,0
11627,226,485,225,1,2,0,27,4,0,0,3,8,0,0,0,0,0,0,1,3,0,1,0,8,0,1,2,0,0,1,0
114658,1730,3180,1729,3,9,1,140,514,2,0,39,10,0,0,0,1,0,0,1,3,0,2,0,138,0,1,33,0,0,2,0
133254,704,5368,703,3,14,3,5,210,1,0,31,13,0,0,0,1,0,0,1,32,0,0,0,6,0,0,147,0,0,1,0
124099,1587,4206,1586,1,8,0,316,35,4,0,95,49,0,0,0,0,1,0,1,15,0,3,0,130,0,7,62,0,0,0,0
21577,245,762,244,1,0,0,20,11,0,0,16,7,0,0,0,0,0,0,1,10,0,1,0,11,0,0,6,0,0,0,0
30972,235,1232,234,3,4,0,40,6,1,0,13,1,0,0,0,0,0,0,1,5,0,3,0,23,0,2,27,0,0,2,0
386698,3317,15764,3316,2,3,0,488,14,1,0,50,40,0,0,0,0,0,0,1,23,0,0,0,196,0,0,107,0,0,1,0
106777,1628,4641,1627,11,9,0,239,10,3,0,60,27,0,0,0,0,0,0,1,19,0,3,0,65,1,5,47,0,0,1,0
147596,2840,5299,2839,1,4,1,796,14,0,0,40,7,1,1,1,1,0,0,1,4,0,0,0,172,0,1,84,0,0,1,0
111076,1168,6494,1167,2,18,1,221,12,15,0,46,37,0,0,0,1,0,0,1,8,0,0,0,28,0,2,31,1,0,1,1
17376,164,304,163,1,4,1,13,20,1,0,8,9,0,0,0,0,0,0,1,2,0,0,0,12,1,0,1,0,0,1,0
39314,384,1423,383,1,1,0,4,35,0,0,14,55,0,0,0,1,1,0,1,13,0,1,0,5,0,1,7,0,0,0,0
1559,29,49,28,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
90519,1530,5675,1529,1,2,0,179,3,0,0,28,20,0,0,0,0,0,0,1,20,0,0,0,21,0,6,3,0,0,1,0
349520,8861,16214,8860,0,0,0,22,4,0,0,40,970,1,1,0,1,1,0,1,31,0,7,0,9,0,12,11,0,0,0,0
85130,1709,4094,1708,0,1,0,410,21,0,0,12,1,0,0,0,0,0,0,1,3,0,0,0,193,0,0,7,0,0,0,0
100755,1021,4153,1020,0,2,0,152,31,0,0,20,38,0,0,0,1,0,0,1,12,0,0,0,74,0,0,22,0,0,0,0
111,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
31418,439,1229,438,1,1,0,72,14,0,0,8,0,0,0,0,0,0,0,1,14,0,0,0,21,0,0,3,0,0,1,0
148343,2059,6807,2058,1,4,0,362,12,2,0,12,2,0,1,0,0,0,0,1,11,0,1,0,113,0,1,17,0,0,1,0
10060,258,454,257,0,0,0,0,0,0,0,8,1,0,1,1,0,0,0,1,9,0,0,0,0,0,3,0,0,0,0,0
58486,596,2370,595,3,26,0,111,25,20,0,29,22,0,1,1,0,0,0,1,9,0,2,0,13,0,4,11,0,0,1,0
27365,229,1255,228,1,2,0,8,24,0,0,21,7,0,1,0,1,0,0,1,7,0,0,0,11,0,1,16,0,0,0,0
42212,873,1689,872,1,3,0,91,7,1,0,15,24,0,0,0,0,0,0,0,6,0,0,0,37,0,0,5,0,0,1,0
17182,303,622,302,1,23,1,12,0,19,0,19,11,0,0,0,0,0,0,1,3,0,0,0,2,0,3,1,0,0,0,1
289233,1589,9507,1588,1,70,0,150,112,34,0,22,13,0,0,0,0,0,0,1,10,0,0,0,16,0,0,95,0,0,1,0
159660,1382,5103,1381,1,2,0,11,449,1,0,30,43,0,0,0,0,0,0,0,13,1,0,0,118,0,1,149,0,0,0,0
46664,776,2464,775,2,2,0,181,4,0,0,23,4,0,0,0,0,0,0,1,4,0,0,0,23,0,0,0,0,0,2,1
291,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8640,95,428,94,1,2,1,0,21,1,0,9,1,0,0,0,0,0,0,0,2,0,0,0,20,0,0,10,0,0,0,1
2287,13,109,12,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,1
57053,553,2005,552,1,6,1,42,62,0,0,21,0,0,0,0,1,0,0,1,11,0,1,0,20,0,2,38,1,0,0,0
3850,46,194,45,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0
216554,5222,6753,5221,1,2,0,928,6,0,0,11,41,0,0,0,0,0,0,1,9,0,1,0,91,0,1,3,0,0,1,0
41014,262,2241,261,1,3,0,5,239,1,0,22,15,0,0,0,1,0,0,1,6,0,0,0,69,1,1,30,0,0,0,0
16299,222,611,221,1,4,0,19,18,0,0,13,8,1,1,1,0,0,0,1,2,0,1,0,6,0,0,10,0,0,0,0
14915,158,381,157,0,0,0,2,1,0,0,9,8,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,1,0,0,1
267042,4600,6592,4599,2,6,0,844,4,1,0,6,2,0,0,0,0,0,0,1,3,0,0,0,337,0,0,891,0,0,2,0
70108,571,3232,570,8,26,1,41,72,20,0,22,22,0,0,0,1,0,0,1,7,0,1,0,14,1,5,17,0,0,3,0
107605,1679,3360,1678,24,46,0,158,1,22,0,59,22,0,0,0,0,0,0,1,5,0,0,0,67,0,1,49,0,0,24,1
400,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
158080,1723,6951,1722,20,176,0,26,519,170,0,31,51,0,0,0,0,1,0,1,23,0,1,0,117,0,1,68,0,0,17,0
18183,287,833,286,0,0,0,22,1,0,0,10,12,0,0,0,1,0,0,1,15,0,1,0,3,0,0,3,0,0,0,0
19129,183,717,182,2,5,1,5,49,0,0,15,3,0,1,0,0,0,0,1,4,0,0,0,17,1,0,34,0,0,0,0
28186,176,933,175,3,19,0,0,13,4,0,16,4,0,0,0,0,1,0,1,3,0,0,0,8,8,0,5,0,0,0,1
13468,256,563,255,2,6,0,65,11,2,0,9,3,0,0,0,0,0,0,0,3,0,0,0,9,0,0,1,0,0,1,0
11068,109,329,108,0,0,0,11,14,0,0,7,1,0,0,0,0,0,0,1,9,0,1,0,20,2,0,1,0,0,0,0
49552,517,3209,516,2,3,0,0,96,0,0,11,9,0,0,0,0,0,0,1,14,0,0,0,37,0,0,61,0,0,0,0
5130,71,251,70,1,9,1,12,0,6,0,1,0,0,0,0,0,0,0,1,6,0,0,0,7,2,1,7,0,0,1,0
244195,336,8060,335,1,2,0,5,480,0,0,4,4,0,0,0,1,0,0,1,24,0,0,0,4,0,0,104,0,0,0,0
109831,1250,3683,1249,1,1,0,24,111,0,0,71,53,0,0,0,0,0,0,1,4,0,1,0,45,0,0,4,0,0,1,0
5187,42,195,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1
97168,1129,4274,1128,1,3,0,13,299,2,0,10,3,0,0,0,0,0,0,0,5,0,0,0,240,0,0,23,0,0,0,0
25492,341,1121,340,1,0,0,14,11,0,0,29,23,0,0,0,1,0,0,1,18,0,2,1,9,1,0,20,0,0,0,0
160672,971,6285,970,12,75,2,45,481,17,0,17,16,0,0,0,0,0,0,1,10,0,1,0,33,0,1,11,0,0,0,0
103332,663,5540,662,3,17,1,41,327,6,0,33,30,0,0,0,0,0,0,1,30,0,0,0,14,0,0,7,0,0,0,0
45451,418,1583,417,0,2,0,79,18,0,0,3,2,0,0,0,0,0,0,0,5,0,5,0,47,0,1,77,0,0,0,0
11458,184,306,183,0,0,0,12,7,0,0,10,7,0,0,0,0,0,0,1,3,0,0,0,7,0,0,1,0,0,0,0
24703,282,1085,281,1,1,0,59,134,0,0,4,3,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0
98468,1057,4859,1056,1,2,0,227,6,0,0,16,12,0,0,0,0,0,0,1,23,0,0,0,35,0,2,3,0,0,1,0
44285,754,2511,753,1,1,0,2,353,0,0,7,9,0,0,0,0,1,0,1,4,0,0,0,102,0,0,2,0,0,0,0
21845,340,897,339,0,0,0,6,5,0,0,7,12,0,0,0,0,0,0,1,11,0,2,0,6,0,2,29,0,0,0,1
178472,663,4201,662,4,9,1,217,75,4,1,53,5,0,0,0,0,0,0,1,15,0,3,0,35,0,0,2,0,0,0,0
74709,1840,3056,1839,1,20,0,217,19,14,0,21,4,1,1,1,0,0,0,1,28,0,2,0,37,0,1,6,0,0,0,0
311,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
69450,960,2807,959,2,4,0,79,5,0,0,56,27,0,0,0,0,0,0,1,10,0,8,0,22,0,8,27,0,0,1,0
22408,364,764,363,0,0,0,10,10,0,0,18,5,0,0,0,0,0,0,1,7,0,0,0,25,0,0,0,0,0,0,0
22521,182,1104,181,0,0,0,3,64,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,25,0,0,38,0,0,0,0
3223,74,235,73,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,0,0,0,1
57709,423,2528,422,1,5,0,77,26,3,0,31,13,0,0,0,0,0,0,1,12,0,2,0,38,0,1,6,0,0,0,0
170081,1835,8108,1834,1,1,0,373,25,0,0,44,16,0,0,0,1,0,0,1,10,0,2,0,92,0,2,20,0,0,1,0
3223,74,235,73,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,0,0,0,1
4075,78,113,77,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0
328,6,11,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
116603,1211,4764,1210,2,8,1,240,69,3,0,28,18,0,1,0,0,0,0,1,7,0,0,0,98,0,0,21,0,0,0,0
3586,18,103,17,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,6,0,0,0,1
29304,267,1109,266,1,4,0,27,17,2,0,14,12,0,0,0,0,0,0,0,4,0,1,0,8,0,0,28,0,0,1,0
27484,267,812,266,2,5,1,86,3,1,1,9,13,0,0,0,0,0,0,1,12,0,0,0,12,0,1,1,0,0,1,0
58440,818,3796,817,3,14,1,214,57,9,0,26,5,0,0,0,0,0,0,1,13,0,0,0,42,0,3,35,0,0,1,0
111047,1132,6546,1131,2,18,1,222,12,15,0,47,32,0,0,0,1,0,0,1,12,0,0,0,28,0,2,30,1,0,1,1
61191,725,2636,724,5,19,5,0,11,5,0,4,1,0,0,0,0,0,0,1,2,0,0,0,11,0,9,19,0,0,0,1
41979,238,1027,237,1,15,2,14,2,6,0,36,7,0,0,0,0,0,0,1,4,0,0,0,5,1,0,8,0,0,0,1
27721,463,985,462,1,3,0,118,3,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,18,0,0,8,0,0,1,0
6549,82,131,81,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
50251,593,1745,592,5,16,2,4,84,1,0,11,41,0,0,0,0,0,0,1,5,0,0,0,6,0,0,138,0,0,0,0
56099,793,2439,792,0,0,0,133,8,0,0,31,29,0,0,0,1,0,0,0,7,0,1,0,30,0,1,3,0,1,0,0
6640,80,426,79,1,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,0
36649,483,1839,482,0,0,0,67,51,0,1,8,13,0,1,1,0,0,0,1,5,0,6,0,68,0,0,82,0,0,0,0
41276,657,1404,656,4,12,1,171,0,4,0,7,4,0,0,0,0,0,0,1,13,0,0,0,37,5,0,3,0,0,0,1
13201,59,408,58,1,13,1,0,0,2,0,4,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,19,0,0,0,1
81776,707,4099,706,3,7,0,31,139,5,0,19,4,0,0,0,0,0,0,0,4,0,0,0,91,0,1,57,0,0,2,0
131359,1494,5322,1493,2,9,0,26,690,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,232,0,0,50,1,0,0,0
1528,2,54,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
60738,538,3587,537,2,15,1,121,7,11,0,24,28,0,0,0,1,0,0,1,12,0,1,0,1,0,1,9,1,0,1,1
6549,82,131,81,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
23940,135,850,134,2,9,2,6,29,2,1,14,12,0,0,0,0,1,0,1,9,0,1,0,17,1,1,27,0,0,0,0
6466,64,373,63,1,0,0,2,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,1
2104,47,135,46,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1
210188,14651,1716,14650,1,6,0,0,86,0,0,20,20,0,0,0,0,0,0,1,7,0,0,0,25,0,1,3,4,0,0,0
37009,488,2046,487,1,4,0,17,171,2,0,22,0,0,0,0,0,0,0,0,11,0,0,0,26,0,1,116,0,21,0,0
13656,220,518,219,1,2,0,8,17,0,0,14,9,0,0,0,0,0,0,0,6,0,1,0,7,0,2,7,0,0,0,0
69945,531,2206,530,0,0,0,90,153,0,0,17,6,0,0,0,0,0,0,1,3,0,1,0,39,23,0,7,0,0,0,0
111733,1310,5178,1309,5,17,1,156,13,8,0,38,48,1,0,0,1,0,0,1,3,0,0,0,23,0,1,73,1,0,4,0
26345,375,1174,374,1,6,1,22,65,2,0,10,10,0,0,0,0,0,0,1,3,0,1,0,34,1,1,15,0,0,1,0
58580,487,1775,486,12,64,0,4,122,21,4,14,3,0,0,0,0,0,0,1,9,0,1,0,20,1,1,10,0,0,2,0
207794,969,5921,968,1,88,0,125,23,9,0,33,29,0,0,0,0,0,0,1,13,0,1,0,31,0,6,246,0,0,0,0
54063,631,2711,630,2,10,1,12,91,2,0,45,45,0,1,0,0,0,0,1,9,0,0,0,14,0,1,56,0,0,1,0
117302,1722,5111,1721,1,5,0,124,279,0,0,31,8,0,1,0,1,0,0,1,16,0,0,0,171,1,0,58,0,0,0,0
7314,27,92,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1
19114,336,687,335,1,22,1,11,0,18,0,18,11,0,0,0,0,0,0,1,9,0,0,0,3,0,2,0,0,0,1,1
13925,93,409,92,1,5,1,1,7,2,0,9,4,0,0,0,0,0,0,1,1,0,1,0,3,0,1,19,0,0,0,0
91203,1010,3680,1009,2,2,0,138,291,0,0,15,36,0,1,1,1,0,0,1,9,0,2,0,115,1,2,249,0,0,1,0
24174,218,1362,217,2,14,0,20,8,8,0,7,12,0,0,0,0,0,0,1,19,0,0,0,4,0,0,2,0,0,2,0
70265,345,5073,344,1,7,0,13,245,4,0,11,5,0,0,0,0,0,0,1,10,0,0,0,42,0,7,53,0,0,0,0
10405,27,469,26,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,22,0,0,0,1
60741,717,2614,716,5,19,5,0,8,5,0,4,1,0,0,0,0,0,0,1,2,0,0,0,8,0,9,19,0,0,0,1
60768,940,2125,939,1,9,0,102,4,1,0,21,153,0,0,0,0,0,0,1,6,0,1,0,13,0,0,11,0,5,0,0
144828,3716,7820,3715,1,22,2,11,0,14,0,12,539,1,0,0,1,0,0,1,4,0,0,0,2,0,18,5,0,0,1,1
18253,170,753,169,2,6,1,1,15,0,0,12,35,0,0,0,1,0,0,1,5,0,0,0,4,0,0,3,1,0,0,1
64805,603,4455,602,3,22,0,63,226,2,0,24,9,0,0,0,0,0,0,1,8,0,3,0,65,0,1,31,0,0,0,0
2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32206,291,1186,290,1,6,1,0,3,2,0,5,0,0,0,0,0,0,0,1,2,0,0,0,4,0,13,1,0,0,0,1
62273,358,1978,357,4,17,0,56,51,9,0,15,9,0,0,0,1,0,0,1,11,0,0,0,40,0,5,8,0,0,1,0
31027,394,1067,393,1,4,0,61,14,3,0,13,11,0,1,0,0,0,0,1,3,0,0,0,3,0,2,8,0,0,0,0
11605,181,447,180,1,1,0,40,2,0,0,7,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,1,1
14387,237,359,236,1,4,0,56,2,2,2,5,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,1,1
167584,1774,6359,1773,3,16,1,325,15,11,0,22,26,0,0,0,0,0,0,1,6,0,0,0,155,1,1,42,0,0,3,0
51133,622,2875,621,2,31,0,3,38,17,1,37,12,0,0,0,0,0,0,0,5,0,0,0,37,0,2,35,0,0,2,1
538776,1041,23939,1040,4,123,3,5,491,2,0,11,11,1,1,0,0,0,0,1,12,0,0,0,54,0,0,2,0,51,0,0
7314,27,92,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1
80380,872,3858,871,1,1,0,171,161,0,0,23,54,0,0,0,0,0,0,1,16,0,1,0,56,0,0,40,0,0,0,0
141767,2387,6142,2386,1,2,0,859,0,0,0,3,8,0,0,0,0,1,0,0,6,0,0,0,201,0,0,1,0,0,1,0
3868,35,190,34,1,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,1
38493,89,3023,88,2,10,1,0,0,8,0,3,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1
69,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102522,1485,4124,1484,1,2,0,276,0,0,0,12,6,0,1,1,0,0,0,1,8,0,3,0,169,0,0,338,0,0,1,0
272997,4628,8512,4627,5,25,1,21,263,13,0,89,260,0,1,1,1,1,0,1,19,0,0,0,149,0,2,147,0,0,0,0
245634,2904,7734,2903,1,2,0,4,2058,0,0,5,2,0,0,0,0,0,0,1,3,0,0,0,187,0,0,0,0,0,0,0
105547,762,5171,761,3,13,1,102,243,4,1,19,14,0,1,0,1,0,0,1,5,0,2,0,67,0,3,25,0,0,2,0
130703,1074,7351,1073,9,21,2,63,351,5,0,43,51,0,1,1,1,1,0,1,18,0,0,0,133,0,0,2,0,0,0,0
3753,14,157,13,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,4,0,0,0,1
205388,1451,6706,1450,2,8,0,156,11,5,0,14,31,0,0,0,1,0,0,1,81,0,0,0,41,0,1,18,0,0,1,1
